epsilon,violation,accuracy,coverage
4.996274455037431,0.2550145646662831,79.33333333333333,1.0
5.9997216669921976,0.2420001584329884,79.4,1.0
6.999065104750883,0.2401732440244893,81.2,1.0
3.989136240678135,0.2420566577235148,76.66666666666667,1.0
7.999207110656432,0.2263112991631244,81.46666666666667,1.0
4.98748001670404,0.2387606796443724,79.8,1.0
8.998980377036407,0.2454656425954056,81.66666666666667,1.0
7.988444724472975,0.2510593926136513,80.93333333333334,1.0
8.998586755254557,0.2485921145912732,81.93333333333334,1.0
8.997928172188198,0.2506262040139633,82.33333333333333,1.0
9.98041872986233,0.2657500375317804,80.0,1.0
8.652458102922589,0.2390808614513119,82.53333333333333,1.0
9.708024126253012,0.2285902325309218,82.2,1.0
