budget,fairness_factor,achieved_budget,achieved_fairgap,accuracy,coverage
1.0,0.0,0.9941648108610162,0.1333855399108792,70.53333333333333,1.0
2.0,0.0,1.993487852713811,0.15790738876012167,75.33333333333333,1.0
4.0,0.0,3.9937955895312003,0.12320744035097508,77.93333333333334,1.0
6.0,0.0,5.991889492829628,0.1387419982050344,79.46666666666667,1.0
8.0,0.0,7.998607168140848,0.1363824398289028,80.73333333333333,1.0
10.0,0.0,9.991698954560722,0.14102451030222352,80.86666666666666,1.0
10.0,10.0,9.996881175006632,0.11796826121585002,77.0,1.0
10.0,5.0,9.996881175006632,0.12371787731014167,78.66666666666667,1.0
4.0,5.0,3.991270020313563,0.10779827618064841,74.66666666666667,1.0
6.0,5.0,5.990242500389562,0.1285140403413474,77.06666666666666,1.0
2.0,10.0,1.9923494021126125,0.1254899524481642,72.8,1.0
4.0,10.0,3.991270020313563,0.10829888887449607,74.46666666666667,1.0
4.0,1.0,3.991270020313563,0.1115155924650355,74.73333333333333,1.0
2.0,1.0,1.9923494021126125,0.10437913262743381,72.26666666666667,1.0
6.0,10.0,5.990242500389562,0.12931340084654835,77.13333333333334,1.0
8.0,10.0,7.996964866732165,0.12765689512693956,77.53333333333333,1.0
8.0,1.0,7.996964866732165,0.12445945310613576,77.66666666666667,1.0
6.0,1.0,5.990242500389562,0.12691531933094546,77.06666666666666,1.0
2.0,15.0,1.9939085783476855,0.13629576812626515,68.53333333333333,1.0
4.0,15.0,3.9986141119801855,0.11629249392650565,69.53333333333333,1.0
