budget,fairgap,achieved_budget,achieved_fairgap,num_answered,accuracy,coverage
1,0.05,0.993969184,0.039948173,18859,71.49287322,0.888666667
4,0.05,3.992610583,0.03979786,18859,80.08658009,0.924
2,0.05,1.997821245,0.039378128,18859,73.80261248,0.918666667
8,0.05,7.994813644,0.044139349,18859,81.06336489,0.915333333
10,0.05,9.994400713,0.04478456,18859,81.68103448,0.928
1,0.1,0.997784047,0.081587012,19146,71.34831461,0.949333333
2,0.1,1.993270015,0.085874059,19146,74.3281471,0.942666667
4,0.1,3.993626258,0.100248903,19146,76.72292546,0.948
8,0.1,7.994253569,0.093504368,19146,79.35306263,0.968666667
10,0.1,9.997023757,0.09173602,19146,81.40806562,0.975333333
1,0.15,0.997784047,0.114527098,19173,71.26279863,0.976666667
4,0.15,3.993626258,0.135299157,19173,78.16091954,0.986
8,0.15,7.994253569,0.147119377,19173,80.53461275,0.972666667
10,0.15,9.997023757,0.140832828,19173,80.99117447,0.982
2,0.15,1.993270015,0.112125514,19173,73.27935223,0.988
1,0.2,0.997784047,0.154017467,19199,70.71860309,0.992666667
2,0.2,1.993270015,0.134563959,19199,74.41393168,0.995333333
4,0.2,3.993626258,0.137440257,19199,76.12340711,0.994
8,0.2,7.994253569,0.171136657,19199,81.16621984,0.994666667
10,0.2,9.997023757,0.166112871,19199,82.4,1
1,0.25,0.994919644,0.141000659,19203,70.66666667,1
2,0.25,1.994103016,0.147201037,19203,73.99463807,0.994666667
4,0.25,3.996618788,0.106170469,19203,78.26666667,1
8,0.25,7.990262972,0.145685842,19203,80.2,1
10,0.25,9.995540797,0.130497993,19203,81.06666667,1
2,0.3,1.994103016,0.151561289,19204,73.63150868,0.998666667
1,0.3,0.994919644,0.129704707,19204,70.73333333,1
4,0.3,3.996618788,0.152331127,19204,77.8,1
8,0.3,7.990262972,0.142613595,19204,77.2,1
10,0.3,9.995540797,0.145165769,19204,76.86666667,1
1,0.01,0.999400398,0.009523225,17889,71.20315582,0.676
2,0.01,1.994084567,0.007210949,17889,72.06477733,0.658666667
8,0.01,7.994742019,0.007615345,17889,79.36660269,0.694666667
4,0.01,3.99945972,0.007602055,17889,76.03068073,0.695333333
10,0.01,9.994210865,0.007112306,17889,80.3554724,0.712666667
