budget,fairness_factor,achieved_budget,num_answered,fairgap,achieved_fairgap,accuracy,coverage
2.0,3.0,1.988087676569879,76,0.01,0.0061827934388184,53.63385464581417,0.7246666666666667
2.0,3.0,1.988087676569879,76,0.15,0.1352374724967719,54.44221776887108,0.998
2.0,3.0,1.988087676569879,76,0.05,0.0478426916572418,54.25131677953348,0.886
2.0,3.0,1.988087676569879,76,0.2,0.135511806977391,54.46666666666667,1.0
2.0,3.0,1.988087676569879,76,0.1,0.0963973911997078,54.513888888888886,0.96
4.0,3.0,3.999463582415808,250,0.01,0.0053224991868294,48.86666666666667,1.0
4.0,3.0,3.999463582415808,250,0.15,0.0053224991868294,48.86666666666667,1.0
4.0,3.0,3.999463582415808,250,0.05,0.0053224991868294,48.86666666666667,1.0
4.0,3.0,3.999463582415808,250,0.2,0.0053224991868294,48.86666666666667,1.0
4.0,3.0,3.999463582415808,250,0.1,0.0053224991868294,48.86666666666667,1.0
6.0,3.0,5.989514388481506,489,0.01,0.0100557806243933,51.07238605898123,0.9946666666666668
6.0,3.0,5.989514388481506,489,0.15,0.0100965451367054,51.06666666666667,1.0
6.0,3.0,5.989514388481506,489,0.2,0.0100965451367054,51.06666666666667,1.0
6.0,3.0,5.989514388481506,489,0.05,0.0100965451367054,51.06666666666667,1.0
6.0,3.0,5.989514388481506,489,0.1,0.0100965451367054,51.06666666666667,1.0
8.0,3.0,7.99924861299619,800,0.01,0.0249999793750027,52.8125,0.8533333333333334
8.0,3.0,7.99924861299619,800,0.15,0.0188673227647227,52.61394101876676,0.9946666666666668
8.0,3.0,7.99924861299619,800,0.2,0.0197467841233052,52.46666666666667,1.0
8.0,3.0,7.99924861299619,800,0.1,0.0175253073353877,52.63513513513514,0.9866666666666668
8.0,3.0,7.99924861299619,800,0.05,0.0127221358216477,52.53648366921473,0.9593333333333334
2.0,0.5,1.988087676569879,76,0.01,0.003035685823201,69.20930232558139,0.7166666666666667
2.0,0.5,1.988087676569879,76,0.15,0.139536967468829,67.70186335403727,0.966
2.0,0.5,1.988087676569879,76,0.05,0.0446722249770156,68.61538461538461,0.8666666666666667
2.0,0.5,1.988087676569879,76,0.1,0.0951950439449421,67.90299572039943,0.9346666666666666
2.0,0.5,1.988087676569879,76,0.2,0.1798783209095478,67.64902880107167,0.9953333333333332
4.0,0.5,3.999463582415808,250,0.01,0.0094085039197518,75.4585152838428,0.7633333333333333
4.0,0.5,3.999463582415808,250,0.15,0.1440862018490187,75.69444444444444,0.96
4.0,0.5,3.999463582415808,250,0.05,0.0480842286069304,75.47312641937926,0.8806666666666667
4.0,0.5,3.999463582415808,250,0.1,0.0950318479685846,75.55875991348233,0.9246666666666666
4.0,0.5,3.999463582415808,250,0.2,0.1906754700942519,75.67567567567568,0.9866666666666668
2.0,0.0,1.988087676569879,76,0.01,0.0104381536907459,72.55546425636811,0.8113333333333334
2.0,0.0,1.988087676569879,76,0.1,0.0992460574125629,72.03626220362622,0.956
2.0,0.0,1.988087676569879,76,0.05,0.0484816019434556,72.12518195050946,0.916
2.0,0.0,1.988087676569879,76,0.15,0.1441889914580364,72.25981055480379,0.9853333333333332
2.0,0.0,1.988087676569879,76,0.2,0.1485900078305241,72.21476510067114,0.9933333333333332
4.0,0.0,3.999463582415808,250,0.01,0.0085521186812967,75.58724832214764,0.7946666666666666
4.0,0.0,3.999463582415808,250,0.1,0.1002783873492002,75.43604651162791,0.9173333333333332
4.0,0.0,3.999463582415808,250,0.05,0.0499837567993902,75.17084282460137,0.878
4.0,0.0,3.999463582415808,250,0.15,0.1485372396360166,74.93016759776536,0.9546666666666668
4.0,0.0,3.999463582415808,250,0.2,0.1963385875040848,75.18493611297916,0.9913333333333332
6.0,0.5,5.989514388481506,489,0.01,0.0125571975532614,78.26839826839827,0.77
6.0,0.5,5.989514388481506,489,0.15,0.1525521351168729,77.41027445460944,0.9473333333333334
6.0,0.5,5.989514388481506,489,0.05,0.0501498167230065,77.27272727272727,0.8653333333333333
6.0,0.5,5.989514388481506,489,0.1,0.1009210596210741,77.47415066469719,0.9026666666666666
6.0,0.5,5.989514388481506,489,0.2,0.1975866487697368,77.19891745602165,0.9853333333333332
6.0,0.0,5.989514388481506,489,0.01,0.0051495136332937,79.9469964664311,0.7546666666666667
6.0,0.0,5.989514388481506,489,0.1,0.094416766561459,79.86577181208054,0.894
6.0,0.0,5.989514388481506,489,0.05,0.0447782697992879,79.72027972027972,0.858
6.0,0.0,5.989514388481506,489,0.15,0.1440505627390343,79.71428571428571,0.9333333333333332
6.0,0.0,5.989514388481506,489,0.2,0.1953234918366453,79.72413793103448,0.9666666666666668
2.0,1.5,1.988087676569879,76,0.01,0.0092114148994807,51.28432240921169,0.7526666666666667
2.0,1.5,1.988087676569879,76,0.15,0.115556449218259,51.44392209536602,0.9926666666666668
2.0,1.5,1.988087676569879,76,0.05,0.0488698451666536,51.58501440922191,0.9253333333333332
2.0,1.5,1.988087676569879,76,0.1,0.0840400586159622,51.510989010989015,0.9706666666666668
2.0,1.5,1.988087676569879,76,0.2,0.1241654402781113,51.4342895263509,0.9993333333333332
8.0,0.5,7.99924861299619,800,0.01,0.0091770506636284,81.58362989323844,0.7493333333333333
8.0,0.5,7.99924861299619,800,0.15,0.14658677124059,80.9820193637621,0.964
8.0,0.5,7.99924861299619,800,0.05,0.0481176855924013,81.53730218538055,0.8846666666666667
8.0,0.5,7.99924861299619,800,0.1,0.097076983366212,81.5028901734104,0.9226666666666666
8.0,0.5,7.99924861299619,800,0.2,0.1928351011473765,80.90114324142569,0.9913333333333332
4.0,1.5,3.999463582415808,250,0.01,0.0083265753324013,68.43910806174956,0.7773333333333333
4.0,1.5,3.999463582415808,250,0.15,0.118507598067072,67.95131845841784,0.986
4.0,1.5,3.999463582415808,250,0.05,0.0488830062261905,67.54772393538913,0.908
4.0,1.5,3.999463582415808,250,0.1,0.091362159412556,68.20083682008368,0.956
4.0,1.5,3.999463582415808,250,0.2,0.1213876863257737,68.05369127516778,0.9933333333333332
8.0,0.0,7.99924861299619,800,0.01,0.0043471113943156,81.60919540229885,0.754
8.0,0.0,7.99924861299619,800,0.05,0.0451323758724785,81.80392156862744,0.85
8.0,0.0,7.99924861299619,800,0.1,0.0942106695425584,81.67539267015707,0.8913333333333333
8.0,0.0,7.99924861299619,800,0.15,0.146115399762929,81.915654038599,0.9326666666666666
8.0,0.0,7.99924861299619,800,0.2,0.1953640803648644,81.65392633773453,0.9593333333333334
6.0,1.5,5.989514388481506,489,0.01,0.0096636154820985,64.937106918239,0.848
6.0,1.5,5.989514388481506,489,0.15,0.1056024685567342,64.40107671601615,0.9906666666666668
6.0,1.5,5.989514388481506,489,0.05,0.0456058021909223,64.23512747875354,0.9413333333333334
6.0,1.5,5.989514388481506,489,0.1,0.0821913455601121,64.38356164383562,0.9733333333333334
6.0,1.5,5.989514388481506,489,0.2,0.1152617480476178,64.23308774279973,0.9953333333333332
10.0,0.5,9.99591883622023,1123,0.01,0.0092477286200218,81.4143245693563,0.7353333333333333
10.0,0.5,9.99591883622023,1123,0.15,0.1466771293388948,81.56182212581345,0.922
10.0,0.5,9.99591883622023,1123,0.05,0.0488584623039681,81.43426294820718,0.8366666666666667
10.0,0.5,9.99591883622023,1123,0.1,0.0972406990099107,81.82509505703422,0.8766666666666667
10.0,0.5,9.99591883622023,1123,0.2,0.1964737385690164,81.09418282548476,0.9626666666666668
10.0,0.0,9.99591883622023,1123,0.01,0.0059151288267899,80.56042031523643,0.7613333333333333
10.0,0.0,9.99591883622023,1123,0.15,0.1473706035908664,80.62678062678063,0.936
10.0,0.0,9.99591883622023,1123,0.05,0.0448629721901034,80.59006211180125,0.8586666666666667
10.0,0.0,9.99591883622023,1123,0.1,0.0958351585822842,80.44444444444444,0.9
10.0,0.0,9.99591883622023,1123,0.2,0.1964626442225758,80.55172413793103,0.9666666666666668
8.0,1.5,7.99924861299619,800,0.01,0.0041152261680976,51.4,1.0
8.0,1.5,7.99924861299619,800,0.15,0.0041152261680976,51.4,1.0
8.0,1.5,7.99924861299619,800,0.05,0.0041152261680976,51.4,1.0
8.0,1.5,7.99924861299619,800,0.2,0.0041152261680976,51.4,1.0
8.0,1.5,7.99924861299619,800,0.1,0.0041152261680976,51.4,1.0
10.0,1.5,9.99591883622023,1123,0.01,0.0093912870005301,69.05982905982906,0.78
10.0,1.5,9.99591883622023,1123,0.15,0.1020984819219494,68.5461956521739,0.9813333333333332
10.0,1.5,9.99591883622023,1123,0.05,0.0409462998250546,68.50672328379335,0.942
10.0,1.5,9.99591883622023,1123,0.2,0.1357650751455443,68.5370741482966,0.998
10.0,1.5,9.99591883622023,1123,0.1,0.0691156360606177,68.48652384243262,0.9646666666666668
