budget,fairness_factor,achieved_budget,achieved_fairgap,num_answered,accuracy,auc,coverage
2.0,3.0,1.988087676569879e+00,0.13551180697739101,76,54.46666666666667,0.5776694538338374,1.0
4.0,3.0,3.9994635824158076e+00,0.00532249918682947,250,48.86666666666667,0.6748212061910692,1.0
2.0,1.0,1.988087676569879e+00,0.08601030848409907,76,55.666666666666664,0.6093719978651486,1.0
4.0,1.0,3.9994635824158076e+00,0.12381576405598849,250,60.13333333333333,0.7428037715708948,1.0
6.0,3.0,5.989514388481506e+00,0.010096545136705467,489,51.06666666666667,0.6312044120263298,1.0
6.0,1.0,5.989514388481506e+00,0.2388360175062047,489,75.13333333333334,0.8236505959793631,1.0
8.0,3.0,7.99924861299619e+00,0.019746784123305217,800,52.46666666666667,0.6224159402241595,1.0
2.0,0.5,1.988087676569879e+00,0.183106558257227,76,67.73333333333333,0.7355697384806974,1.0
8.0,1.0,7.99924861299619e+00,0.19030037602596978,800,75.46666666666667,0.8330439423590108,1.0
4.0,0.5,3.9994635824158076e+00,0.19500891848522917,250,75.73333333333333,0.8345472335883295,1.0
2.0,0.0,1.988087676569879e+00,0.16189845375844492,76,72.26666666666667,0.7897402597402599,1.0
4.0,0.0,3.9994635824158076e+00,0.21145113995002496,250,75.26666666666667,0.8327993239637076,1.0
6.0,0.5,5.989514388481506e+00,0.2139560869033192,489,77.33333333333333,0.8458352606297813,1.0
10.0,1.0,9.99591883622023e+00,0.22476689763064883,1123,79.6,0.8779291940935776,1.0
6.0,0.0,5.989514388481506e+00,0.2583858806072578,489,79.66666666666667,0.8685638676392102,1.0
2.0,1.5,1.988087676569879e+00,0.12528343136061915,76,51.4,0.5113147126845757,1.0
8.0,0.5,7.99924861299619e+00,0.19248514117232451,800,80.93333333333334,0.8779861234655755,1.0
4.0,1.5,3.9994635824158076e+00,0.11482740160092009,250,68.06666666666666,0.7666215975805017,1.0
8.0,0.0,7.99924861299619e+00,0.2586683934832812,800,81.6,0.8813565201921365,1.0
6.0,1.5,5.989514388481506e+00,0.11376313959757378,489,64.2,0.7863440668920121,1.0
10.0,0.5,9.99591883622023e+00,0.25976077605645853,1123,81.2,0.8803540295321117,1.0
10.0,0.0,9.99591883622023e+00,0.25936525638768665,1123,80.6,0.8866553993951254,1.0
8.0,1.5,7.99924861299619e+00,0.004115226168097688,800,51.4,0.8304305283757338,1.0
10.0,1.5,9.99591883622023e+00,0.14435913621569751,1123,68.46666666666667,0.7290748977050348,1.0
