budget,fairgap,achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,auc,coverage
2.0,0.01,1.4825561317367195e+00,0.1358696330801601,0.5789424792493474,40,69.06666666666666,0.7705012453300125,1.0
3.0,0.15,2.994979508757028e+00,0.21647986421622384,0.33613403310930456,164,77.2,0.847738391745241,1.0
4.0,0.15,3.990764019085204e+00,0.24746206308717966,0.34867226634204895,251,77.8,0.8484775840597758,1.0
5.0,0.15,4.9962744550374305e+00,0.2550145646662831,0.1335402230045598,357,79.33333333333333,0.8584700231275573,1.0
6.0,0.15,5.9997216669921976e+00,0.2420001584329884,0.13274571525386997,489,79.4,0.860336683864081,1.0
7.0,0.15,6.999065104750883e+00,0.24017324402448936,0.1291459574350547,629,81.2,0.8781471268457569,1.0
3.0,0.1,2.9886484973518934e+00,0.21009508307213004,0.3272054629081585,161,76.6,0.8461746130581747,1.0
3.0,0.05,2.993369319185674e+00,0.20478384592990784,0.35131851655871066,157,76.06666666666666,0.8278629247464864,1.0
3.0,0.01,2.978412875677746e+00,0.17172988870534567,0.3869932303342055,155,75.73333333333333,0.818128891656289,1.0
4.0,0.1,3.9891362406781345e+00,0.2420566577235148,0.3511108110618555,250,76.66666666666667,0.8436955168119552,1.0
4.0,0.01,3.998492876781878e+00,0.2102645891554049,0.08209804450623936,253,79.2,0.8568755559508985,1.0
4.0,0.05,3.992188007569239e+00,0.2044071648324418,0.23401403171647528,250,77.53333333333333,0.850815691158157,1.0
8.0,0.15,7.999207110656432e+00,0.22631129916312448,0.14308583360323424,798,81.46666666666667,0.8794765166340509,1.0
5.0,0.1,4.98748001670404e+00,0.23876067964437242,0.09706944900815023,347,79.8,0.8652125956235546,1.0
5.0,0.01,4.984155378000436e+00,0.23830866068507417,0.010252851188869205,384,79.93333333333334,0.8679065112969222,1.0
5.0,0.05,4.994410502656485e+00,0.23570954551033724,0.055963129481306995,357,79.8,0.8705012453300125,1.0
6.0,0.1,5.996206342245049e+00,0.2352951954819551,0.09238599105996459,481,79.66666666666667,0.8605283757338552,1.0
6.0,0.01,5.9968683128599025e+00,0.1315526809890732,0.013296130491066815,511,75.13333333333334,0.8339957302971003,1.0
6.0,0.05,5.997002560485482e+00,0.24501362363610735,0.045694746859426094,499,80.33333333333333,0.871639388009251,1.0
9.0,0.15,8.998980377036407e+00,0.24546564259540565,0.13035503607841392,963,81.66666666666667,0.8893101761252445,1.0
7.0,0.1,6.996970535599935e+00,0.22631129916312448,0.0929762015576801,633,81.06666666666666,0.8811332503113325,1.0
7.0,0.01,6.99621700785727e+00,0.23448532578480114,0.008501713541973654,649,81.46666666666667,0.8842452410603096,1.0
7.0,0.05,6.991660125105236e+00,0.230624321953612,0.04782604878917157,643,81.0,0.878518946806618,1.0
10.0,0.15,9.996913562746975e+00,0.1874375783348199,0.13300990574109128,1115,77.2,0.8775426970289983,1.0
8.0,0.1,7.988444724472975e+00,0.25105939261365134,0.0790020023707666,805,80.93333333333334,0.8854220779220778,1.0
8.0,0.01,7.988103430477986e+00,0.20956772625099945,0.008001603731624063,817,81.53333333333333,0.8748252090375378,1.0
8.0,0.05,7.990101055644777e+00,0.2162726892020327,0.04554875117236362,801,82.46666666666667,0.8929220779220779,1.0
9.0,0.1,8.998586755254557e+00,0.24859211459127323,0.09690650538523327,952,81.93333333333334,0.8894275929549902,1.0
9.0,0.01,8.652458102922589e+00,0.23908086145131197,0.01276311086539672,895,82.53333333333333,0.8989766055861946,1.0
9.0,0.05,8.997928172188198e+00,0.25062620401396335,0.04890996646615137,970,82.33333333333333,0.8951045187689024,1.0
10.0,0.1,9.98041872986233e+00,0.26575003753178045,0.0997322155190794,1104,80.0,0.8718840064045543,1.0
10.0,0.01,8.652458102922589e+00,0.23908086145131197,0.01276311086539672,895,82.53333333333333,0.8989766055861946,1.0
10.0,0.05,9.708024126253012e+00,0.22859023253092187,0.04848480131045818,1059,82.2,0.89836728340153,1.0
